city,category,count
atlanta,Craft Beer ,2
atlanta,Babies ,2
atlanta,Fashion Tech ,2
atlanta,Child Care ,2
atlanta,3D Technology ,2
atlanta,Customer Support Tools ,2
atlanta,Social Enterprise ,2
atlanta,Professional Networking ,2
atlanta,Green ,2
atlanta,Diagnostics ,2
atlanta,Services ,2
atlanta,Female 18 34 ,2
atlanta,Specialty Retail ,2
atlanta,Surfing Community ,2
atlanta,Graphics ,2
atlanta,Architecture ,2
atlanta,Hairsalon ,2
atlanta,Home Owners ,2
atlanta,Local Coupons ,2
atlanta,Polling ,2
atlanta,Mobility ,2
atlanta,Gamification ,2
atlanta,Consumers ,2
atlanta,Marketing Automation ,2
atlanta,Social Network ,2
atlanta,Australian Market ,2
atlanta,Chat ,2
atlanta,Concierge ,2
atlanta,Facebook Applications ,2
atlanta,Entrepreneur ,2
atlanta,Dental ,2
atlanta,Supply Chain Management ,2
atlanta,Aerial Robotics  ,2
atlanta,Developer APIs ,2
atlanta,Unmanned Air Systems ,2
atlanta,E-Commerce Platforms ,2
atlanta,Sales ,2
atlanta,Collaborative Consumption ,2
atlanta,Industrial ,2
atlanta,Corporate IT ,2
atlanta,Outdoors ,2
atlanta,Semantic Web ,2
atlanta,Social Media Advertising ,2
atlanta,M2M ,2
atlanta,Online Rental ,2
atlanta,Fantasy Sports ,2
atlanta,Stocks ,2
atlanta,Venture Capital ,2
atlanta,Content Delivery ,2
atlanta,Investors ,2
atlanta,Industrial Control ,2
atlanta,Business Development ,2
atlanta,Handmade ,2
atlanta,Sporting Goods ,2
atlanta,Nanotechnology ,2
atlanta,Group Buying ,2
atlanta,Productivity Software ,2
atlanta,Hair Extensions ,2
atlanta,Tracking ,2
atlanta,Machine Learning ,2
atlanta,Same Day Delivery ,2
atlanta,Blog ,2
atlanta,Comics ,2
atlanta,Green Consumer Goods ,2
atlanta,Renewable Energies ,2
atlanta,Theatre ,2
atlanta,Consulting ,2
atlanta,Development Platforms ,2
atlanta,Information Security ,2
atlanta,Soccer ,2
atlanta,Social Fundraising ,2
atlanta,Social CRM ,2
atlanta,Video Chat ,2
atlanta,Technical Continuing Education ,2
atlanta,Natural Food Grocers ,2
atlanta,Financial Exchanges ,2
atlanta,Residential Real Estate ,2
atlanta,Ticketing ,2
atlanta,Business Travelers ,2
atlanta,Wedding Planners ,2
atlanta,DOD/Military ,2
atlanta,Computer Vision ,2
atlanta,Discounts ,2
atlanta,Mobile Enterprise ,2
atlanta,Disruptive Services ,2
atlanta,Cyber Security ,2
atlanta,Franchises ,2
atlanta,Hardware + Software ,2
atlanta,Recreation ,2
atlanta,Car ,2
atlanta,Energy Management ,2
atlanta,Advice ,2
atlanta,Energy Efficiency ,2
atlanta,Data Center Infrastructure ,2
atlanta,Enterprise Resource Planning ,2
atlanta,Hardware ,2
atlanta,Athletes ,2
atlanta,None ,2
atlanta,Modeling ,2
atlanta,Marijuana ,2
atlanta,Networking ,2
atlanta,Real Estate Technology ,2
atlanta,Programming ,2
atlanta,Weddings ,2
atlanta,Food Tech ,2
atlanta,Storage ,2
atlanta,SEO ,2
atlanta,Consumer  ,2
atlanta,Product Design ,2
atlanta,Cloud Management ,2
atlanta,E-Books ,2
atlanta,Urban Cities ,2
atlanta,Utilities ,2
atlanta,Online Gaming ,2
atlanta,Environmental Innovation ,2
atlanta,New York ,2
atlanta,Databases ,2
atlanta,Coupons ,2
atlanta,Diabetes ,2
atlanta,Social Network Media ,2
atlanta,Intellectual Property ,2
atlanta,Solar ,2
atlanta,Renewable Tech ,2
atlanta,Adventure Travel ,2
atlanta,Researchers ,2
atlanta,Photo Sharing ,2
atlanta,International Development ,2
atlanta,Mothers ,2
atlanta,Baby Accessories ,2
atlanta,Music Venues ,2
atlanta,Connected Cars ,2
atlanta,Jewelry ,3
atlanta,Public Safety ,3
atlanta,Women's Apparel And Accessories ,3
atlanta,Internet Radio ,3
atlanta,Tablets ,3
atlanta,Europe ,3
atlanta,Organic Food ,3
atlanta,Market Research ,3
atlanta,Charity ,3
atlanta,Oil and Gas ,3
atlanta,Lead Generation ,3
atlanta,VoIP ,3
atlanta,Bars ,3
atlanta,Local Services ,3
atlanta,Agriculture ,3
atlanta,Sustainability ,3
atlanta,Document Management ,3
atlanta,Knowledge Management ,3
atlanta,Coworking ,3
atlanta,Robotics ,3
atlanta,Custom Retail ,3
atlanta,Internet Marketing ,3
atlanta,Content Discovery ,3
atlanta,Smart Grid ,3
atlanta,Wearables ,3
atlanta,New Product Development ,3
atlanta,Hotels ,3
atlanta,Funeral Industry ,3
atlanta,Online Dating ,3
atlanta,Staffing Firms ,3
atlanta,Universities ,3
atlanta,Edutainment ,3
atlanta,Marketing ,3
atlanta,Customer Service ,3
atlanta,Wireless ,3
atlanta,mHealth ,3
atlanta,Telephony ,3
atlanta,Reputation ,3
atlanta,Self Storage ,3
atlanta,Concerts ,3
atlanta,Batteries ,3
atlanta,Specialty Foods ,3
atlanta,Banking ,3
atlanta,Construction ,3
atlanta,Energy ,3
atlanta,Freelancers ,3
atlanta,Law Enforcement ,3
atlanta,Global ,3
atlanta,Wholesale ,3
atlanta,Data Security ,3
atlanta,Recycling ,3
atlanta,Artists Globally ,3
atlanta,Business Intelligence ,3
